sepal_length,sepal_width,petal_length,petal_width,class
0.08823529411764697,0.6666666666666667,0.0,0.04166666666666667,setosa
0.41176470588235303,1.0,0.0847457627118644,0.125,setosa
0.7058823529411764,0.45833333333333326,0.576271186440678,0.5416666666666667,versicolor
0.1470588235294117,0.5833333333333333,0.1016949152542373,0.04166666666666667,setosa
0.02941176470588247,0.5,0.05084745762711865,0.04166666666666667,setosa
0.9705882352941175,0.41666666666666674,0.9491525423728813,0.8333333333333335,virginica
0.6176470588235294,0.5,0.5932203389830508,0.5833333333333334,versicolor
0.26470588235294135,0.625,0.0847457627118644,0.04166666666666667,setosa
0.2058823529411764,0.6666666666666667,0.06779661016949151,0.04166666666666667,setosa
0.26470588235294135,0.8749999999999998,0.0847457627118644,0.0,setosa
0.7647058823529413,0.5,0.7966101694915254,0.9166666666666666,virginica
0.5,0.5833333333333333,0.5932203389830508,0.6250000000000001,versicolor
0.7058823529411764,0.45833333333333326,0.6271186440677966,0.5833333333333334,versicolor
0.32352941176470607,0.7916666666666665,0.05084745762711865,0.125,setosa
0.32352941176470607,0.7083333333333333,0.0847457627118644,0.04166666666666667,setosa
0.3529411764705883,0.16666666666666663,0.4576271186440678,0.375,versicolor
0.6176470588235294,0.33333333333333326,0.7796610169491525,0.8750000000000001,virginica
0.7352941176470587,0.5,0.8305084745762712,0.9166666666666666,virginica
0.6764705882352939,0.41666666666666674,0.576271186440678,0.5416666666666667,versicolor
0.7058823529411764,0.20833333333333326,0.8135593220338982,0.7083333333333334,virginica
0.41176470588235303,0.41666666666666674,0.5423728813559322,0.4583333333333333,versicolor
0.6470588235294117,0.41666666666666674,0.8135593220338982,0.8750000000000001,virginica
0.38235294117647056,0.41666666666666674,0.5932203389830508,0.5833333333333334,versicolor
0.23529411764705865,0.625,0.06779661016949151,0.04166666666666667,setosa
0.7647058823529413,0.45833333333333326,0.6949152542372881,0.9166666666666666,virginica
0.4411764705882353,0.29166666666666674,0.5254237288135593,0.375,versicolor
0.26470588235294135,0.5833333333333333,0.06779661016949151,0.04166666666666667,setosa
0.2058823529411764,0.625,0.05084745762711865,0.08333333333333333,setosa
0.23529411764705865,0.7499999999999998,0.15254237288135591,0.125,setosa
0.2058823529411764,0.0,0.423728813559322,0.375,versicolor
0.9999999999999998,0.33333333333333326,0.9661016949152543,0.7916666666666667,virginica
0.1470588235294117,0.5833333333333333,0.15254237288135591,0.04166666666666667,setosa
0.2058823529411764,0.41666666666666674,0.1016949152542373,0.04166666666666667,setosa
0.23529411764705865,0.5416666666666665,0.11864406779661013,0.16666666666666669,setosa
0.2058823529411764,0.12499999999999989,0.38983050847457623,0.375,versicolor
